Car Make,Car Model,Year,Mileage,Price,Fuel Type,Color,Transmission,Options/Features,Condition,Accident
Ford,F-150,2017,85427,9749.808,Electric,Black,Manual,"Leather Seats, Sunroof",Like New,Yes
Honda,Pilot,2021,102943,18970.44,Hybrid,Orange,Automatic,"Backup Camera, Heated Seats, Bluetooth, GPS",New,Yes
Chrysler,Pacifica,2010,148562,36503.976,Diesel,Brown,Automatic,"GPS, Heated Seats, Leather Seats, Sunroof",New,Yes
BMW,X7,2017,19584,20323.56,Hybrid,Yellow,Automatic,"Heated Seats, GPS, Sunroof",Used,Yes
Nissan,Altima,2021,62121,24819.208,Gasoline,Green,Manual,GPS,Used,Yes
Jaguar,XE,2014,112182,13099.16,Diesel,Green,Manual,"Sunroof, GPS, Backup Camera, Leather Seats",Like New,No
Kia,Optima,2012,145839,18150.112,Diesel,Blue,Automatic,"Heated Seats, Remote Start, Backup Camera, Sunroof",New,Yes
Chevy,Malibu,2013,69883,20582.512,Diesel,Gray,Automatic,Remote Start,Used,Yes
Subaru,Legacy,2022,9101,12663.984,Gasoline,Black,Automatic,"Heated Seats, GPS",Like New,Yes
Mazda,CX-9,2013,146494,11821.688000000002,Gasoline,White,Manual,"Leather Seats, Bluetooth, Remote Start",New,Yes
Land Rover,Range Rover,2016,83774,13905.544000000002,Diesel,Green,Manual,"Remote Start, Backup Camera, Bluetooth, Sunroof",New,Yes
Subaru,Forester,2014,103686,10619.64,Hybrid,Blue,Automatic,"GPS, Backup Camera, Sunroof, Heated Seats",Like New,Yes
Chevy,Traverse,2012,106821,12742.904,Diesel,Silver,Automatic,Backup Camera,Like New,Yes
Mercedes,C-Class,2014,103872,28252.192,Gasoline,Black,Automatic,"Leather Seats, Bluetooth, Heated Seats, GPS",Used,Yes
Mercedes,E-Class,2021,35753,30887.656000000003,Hybrid,Blue,Automatic,"Remote Start, Bluetooth, Sunroof",Like New,Yes
Porsche,Taycan,2020,99177,15103.2,Electric,Orange,Manual,"Remote Start, Bluetooth, Leather Seats, Heated Seats",Like New,Yes
Hyundai,Santa Fe,2010,63005,30685.088000000003,Gasoline,Gray,Manual,"Bluetooth, Leather Seats",Like New,Yes
Mazda,MX-5 Miata,2013,135888,23823.128,Electric,Gray,Manual,"Leather Seats, Heated Seats, Bluetooth, Remote Start",Used,Yes
Honda,Fit,2017,53247,37008.376,Gasoline,Orange,Automatic,Sunroof,New,Yes
Honda,Accord,2011,44591,4329.0960000000005,Hybrid,Silver,Automatic,"GPS, Remote Start, Backup Camera, Sunroof",Used,Yes
Toyota,Camry,2018,77021,23286.568,Electric,Red,Manual,Backup Camera,New,Yes
Honda,Accord,2013,143007,13087.056,Electric,Gray,Manual,"Sunroof, Backup Camera, Leather Seats, Heated Seats",New,Yes
Volkswagen,Jetta,2020,13305,7366.016,Hybrid,Green,Manual,"GPS, Sunroof",New,Yes
Subaru,Impreza,2019,29998,36212.48,Gasoline,Blue,Automatic,"GPS, Remote Start, Bluetooth",Used,Yes
Chevy,Traverse,2020,13625,10456.760000000002,Electric,Red,Automatic,"GPS, Bluetooth, Leather Seats, Backup Camera",Used,Yes
Chrysler,Voyager,2020,146705,15942.272,Diesel,Black,Manual,"Leather Seats, GPS, Bluetooth, Sunroof",New,Yes
Hyundai,Elantra,2020,76651,32207.736,Hybrid,Yellow,Automatic,"Leather Seats, Heated Seats, Backup Camera, Sunroof",Like New,Yes
BMW,X7,2014,69605,29671.904,Gasoline,Gray,Automatic,"Bluetooth, Remote Start, GPS, Backup Camera",Like New,Yes
Toyota,Highlander,2017,99350,31408.472,Gasoline,White,Automatic,"Backup Camera, Remote Start, Heated Seats, Sunroof",New,Yes
Audi,A4,2011,97776,23951.912,Electric,Green,Automatic,"Remote Start, GPS, Backup Camera, Leather Seats",Like New,Yes
Chrysler,Dodge Durango,2012,104806,10102.064,Electric,Gray,Manual,Leather Seats,Like New,Yes
Subaru,Impreza,2016,83578,21432.328,Gasoline,Silver,Manual,"Sunroof, GPS",New,Yes
Honda,CR-V,2010,108728,15959.816,Hybrid,Silver,Manual,"Bluetooth, Remote Start",Like New,Yes
Fiat,500X,2017,87361,10394.944,Hybrid,Silver,Manual,"Bluetooth, Sunroof",Used,Yes
Nissan,Sentra,2015,34855,37554.416,Diesel,Brown,Automatic,"Heated Seats, Leather Seats, Sunroof, Bluetooth",Used,Yes
BMW,X3,2020,135889,9010.448,Electric,Blue,Manual,"Remote Start, Sunroof, GPS, Heated Seats",Used,Yes
Fiat,Doblo,2019,110068,23237.224,Hybrid,Orange,Automatic,Remote Start,Like New,Yes
Tesla,Model X,2012,16612,24275.928,Hybrid,Silver,Manual,Bluetooth,New,Yes
Tesla,Model S,2017,103073,18080.832,Diesel,Silver,Automatic,"Sunroof, GPS, Heated Seats",Like New,Yes
Honda,CR-V,2014,94932,20391.976,Diesel,Orange,Manual,Sunroof,Like New,Yes
Porsche,Macan,2011,83712,5608.592000000001,Gasoline,Red,Manual,"Heated Seats, Leather Seats",Used,Yes
Land Rover,Range Rover,2018,46978,15915.624,Hybrid,Yellow,Automatic,"Heated Seats, Remote Start",Like New,Yes
Subaru,Crosstrek,2010,56727,20184.704,Hybrid,Green,Automatic,"Bluetooth, Heated Seats",Used,Yes
BMW,X7,2011,145742,10730.552,Electric,Blue,Manual,"Backup Camera, Heated Seats, Bluetooth, Sunroof",New,Yes
Fiat,Doblo,2019,34945,16525.288,Hybrid,Brown,Automatic,Heated Seats,Used,Yes
Honda,CR-V,2011,67540,14993.68,Diesel,Silver,Automatic,"Backup Camera, Leather Seats, Remote Start, Sunroof",Used,Yes
Subaru,Forester,2017,145870,28963.584000000003,Diesel,Orange,Automatic,"Leather Seats, Bluetooth",Like New,Yes
Porsche,Taycan,2010,99119,38266.312,Hybrid,White,Automatic,"Heated Seats, Sunroof, Remote Start, Backup Camera",Like New,Yes
Jaguar,XF,2011,13089,32651.712,Diesel,Gray,Automatic,"Leather Seats, Sunroof, Backup Camera",Like New,Yes
Jaguar,I-Pace,2018,34677,24617.704,Electric,Orange,Manual,"Backup Camera, Leather Seats, Sunroof, GPS",Used,Yes
Tesla,Model X,2010,122894,13461.352,Gasoline,Yellow,Automatic,"Remote Start, Heated Seats, Backup Camera",New,Yes
Subaru,Forester,2019,41499,32254.576,Diesel,Red,Manual,"Bluetooth, Heated Seats",Used,Yes
Volkswagen,Passat,2019,75082,38286.304,Gasoline,White,Manual,"Heated Seats, Leather Seats",New,Yes
Tesla,Model S,2021,89435,33825.344000000005,Hybrid,Yellow,Automatic,"Sunroof, Remote Start, GPS, Backup Camera",Used,Yes
Mazda,MX-5 Miata,2021,77935,29009.328000000005,Electric,Yellow,Manual,Heated Seats,Like New,Yes
Porsche,Macan,2011,145096,18317.768,Hybrid,Blue,Manual,"Bluetooth, Backup Camera, Heated Seats",Like New,Yes
Honda,Fit,2017,95109,36189.568,Gasoline,Red,Automatic,GPS,Used,Yes
Chevrolet,Cruze,2017,5177,39706.17600000001,Hybrid,Blue,Automatic,"Remote Start, Bluetooth",Used,Yes
BMW,5 Series,2014,26606,17386.376,Diesel,Red,Manual,"Sunroof, Heated Seats",Used,Yes
BMW,3 Series,2010,60947,21165.04,Diesel,Brown,Automatic,GPS,Used,Yes
Hyundai,Elantra,2016,39648,21197.208,Diesel,Green,Automatic,Bluetooth,Used,Yes
Kia,Forte,2012,105328,31844.576,Diesel,White,Automatic,"Sunroof, Bluetooth",Used,Yes
Mercedes,E-Class,2016,120968,34958.648,Gasoline,Black,Automatic,"Sunroof, Bluetooth, Leather Seats",New,Yes
Tesla,Model X,2020,27085,12934.016,Electric,Red,Manual,"Bluetooth, Heated Seats, GPS, Leather Seats",New,Yes
Jaguar,XJ,2011,68198,21984.968,Gasoline,Orange,Automatic,"Sunroof, Backup Camera",Like New,Yes
Subaru,Impreza,2018,50290,31458.136,Gasoline,Red,Automatic,"GPS, Remote Start",New,Yes
Mazda,MX-5 Miata,2014,136346,31615.96,Hybrid,Green,Automatic,"GPS, Bluetooth, Remote Start",Used,Yes
Land Rover,Range Rover,2022,45731,23310.048000000003,Hybrid,Brown,Automatic,"GPS, Leather Seats",Like New,Yes
BMW,X3,2011,123848,26042.688,Gasoline,Gray,Automatic,"Heated Seats, GPS",New,Yes
Chevrolet,Cruze,2015,142102,22620.024,Electric,White,Manual,Remote Start,New,Yes
Toyota,Highlander,2022,117544,13791.304000000002,Gasoline,Gray,Automatic,"GPS, Sunroof, Backup Camera",Like New,Yes
Chevrolet,Malibu,2012,71877,31839.840000000004,Gasoline,Blue,Automatic,"GPS, Sunroof",New,Yes
Kia,Soul,2012,51913,37521.76,Gasoline,Orange,Manual,"Sunroof, Heated Seats",New,Yes
Hyundai,Tucson,2011,102729,8298.432,Gasoline,White,Automatic,"GPS, Sunroof, Bluetooth, Backup Camera",Used,Yes
Hyundai,Elantra,2018,124733,4286.888,Diesel,Gray,Manual,"Bluetooth, Backup Camera, Sunroof, Leather Seats",Used,Yes
Chevy,Silverado,2012,6671,37566.312,Gasoline,Blue,Manual,"GPS, Heated Seats, Sunroof",Used,Yes
Volkswagen,Jetta,2013,143887,39392.168000000005,Hybrid,Yellow,Automatic,GPS,New,Yes
Tesla,Model Y,2021,102646,20504.488,Gasoline,Brown,Automatic,"GPS, Backup Camera, Heated Seats, Remote Start",Used,Yes
Subaru,Forester,2013,81461,13395.672,Electric,Green,Manual,"Leather Seats, GPS, Remote Start",Like New,Yes
Honda,Fit,2011,45739,7803.68,Hybrid,Yellow,Manual,"Remote Start, Leather Seats, Sunroof",Like New,Yes
Volkswagen,Tiguan,2014,36434,9068.94,Electric,Brown,Automatic,"GPS, Heated Seats",New,No
Tesla,Model X,2016,139600,5762.224,Electric,Gray,Automatic,"Backup Camera, Heated Seats, Remote Start, Leather Seats",New,Yes
Audi,A3,2011,41645,8372.32,Gasoline,Blue,Automatic,"Heated Seats, Remote Start, GPS",New,Yes
Chrysler,Dodge Durango,2014,24657,5981.01,Gasoline,Blue,Manual,"GPS, Remote Start, Sunroof",New,No
Ford,Escape,2019,118549,41975.84,Hybrid,Yellow,Automatic,"Bluetooth, Leather Seats",Like New,No
Chevrolet,Malibu,2014,121919,35803.256,Gasoline,Brown,Automatic,"Sunroof, Backup Camera, Remote Start, GPS",Used,Yes
BMW,5 Series,2016,40975,19092.456,Diesel,Orange,Automatic,"Backup Camera, Sunroof, Bluetooth, Remote Start",Like New,Yes
Mazda,CX-5,2012,11832,15479.592000000002,Diesel,Red,Manual,"Remote Start, Backup Camera, Leather Seats",New,Yes
Chevrolet,Silverado,2013,68216,13594.976000000002,Gasoline,Blue,Manual,"Leather Seats, Backup Camera",Like New,Yes
Hyundai,Tucson,2019,12394,29324.304,Electric,Brown,Automatic,"Backup Camera, Bluetooth, Leather Seats, Sunroof",Used,Yes
Ford,F-150,2010,65980,25659.864,Gasoline,Orange,Manual,"Remote Start, Leather Seats",New,Yes
Hyundai,Sonata,2022,89826,6144.0160000000005,Diesel,Brown,Automatic,Bluetooth,New,Yes
Mazda,MX-5 Miata,2011,93227,14863.544000000002,Diesel,White,Manual,"Leather Seats, Heated Seats, Backup Camera",Used,Yes
Fiat,Panda,2013,50967,17621.824,Electric,White,Automatic,"Remote Start, Backup Camera, GPS, Leather Seats",Used,Yes
Fiat,Panda,2022,62906,27027.28,Gasoline,Yellow,Automatic,"Bluetooth, Remote Start",Like New,Yes
Chevrolet,Silverado,2021,93014,20078.68,Electric,Blue,Automatic,"Bluetooth, GPS, Heated Seats",Used,Yes
Ford,Mustang,2017,115009,48609.58,Hybrid,Yellow,Manual,Remote Start,Like New,No
Jaguar,I-Pace,2020,64135,9855.632,Gasoline,Red,Manual,"GPS, Remote Start, Bluetooth",New,Yes
Chevrolet,Cruze,2012,24661,23693.664000000004,Gasoline,Silver,Manual,"Heated Seats, Leather Seats, Backup Camera, Sunroof",Used,Yes
Chevrolet,Silverado,2011,91794,11399.816,Diesel,Green,Manual,"Leather Seats, GPS, Heated Seats",Used,Yes
Mazda,MX-5 Miata,2018,133699,11911.55,Electric,Red,Manual,"Leather Seats, GPS, Heated Seats, Remote Start",New,No
Chevrolet,Malibu,2011,129143,42969.61,Electric,Green,Manual,Heated Seats,Like New,No
Chevy,Malibu,2012,102260,44847.17,Electric,White,Manual,"Sunroof, Bluetooth, Leather Seats, Heated Seats",New,No
Chrysler,Pacifica,2012,30350,7085.464,Electric,Orange,Manual,Remote Start,Used,Yes
Mazda,MX-5 Miata,2016,145381,35918.06,Hybrid,Brown,Automatic,Sunroof,Like New,No
Ford,Explorer,2019,140480,32816.216,Diesel,Black,Manual,"Remote Start, Leather Seats",New,Yes
Honda,Civic,2016,25543,39578.08,Hybrid,Blue,Automatic,"Heated Seats, GPS, Remote Start",Used,Yes
Mazda,MX-5 Miata,2016,149717,15740.568,Electric,Orange,Manual,Sunroof,New,Yes
Honda,Accord,2019,31267,37297.416,Gasoline,Gray,Manual,"Heated Seats, Sunroof, Backup Camera, Remote Start",Like New,Yes
Ford,Escape,2014,110637,11473.37,Hybrid,Red,Manual,Heated Seats,Like New,No
Jaguar,F-Type,2015,10303,16163.176,Electric,Gray,Manual,"Leather Seats, Bluetooth",Like New,Yes
Porsche,Macan,2014,114254,25779.248000000003,Gasoline,Blue,Manual,"Remote Start, Backup Camera, Bluetooth, GPS",New,Yes
Land Rover,Range Rover,2011,86559,29544.496000000003,Hybrid,White,Automatic,"Remote Start, GPS",New,Yes
Tesla,Model 3,2017,18253,37049.12,Diesel,Gray,Manual,Heated Seats,Like New,Yes
Toyota,Corolla,2015,133132,25385.568,Diesel,Yellow,Manual,"Heated Seats, Remote Start, GPS",Like New,Yes
Volkswagen,Jetta,2016,18015,9864.664,Diesel,Blue,Automatic,"Heated Seats, Sunroof, Backup Camera",Used,Yes
Toyota,Camry,2017,39685,34131.72,Gasoline,Blue,Manual,"Sunroof, Remote Start, Bluetooth",Used,No
Porsche,Macan,2013,127342,14877.224,Hybrid,Brown,Automatic,"Bluetooth, Heated Seats, GPS",New,Yes
Jaguar,XE,2015,77478,27061.408000000003,Electric,Gray,Manual,"GPS, Backup Camera",New,Yes
Mazda,CX-5,2020,41681,37457.74,Hybrid,Gray,Manual,"Heated Seats, GPS, Backup Camera, Leather Seats",Like New,No
Hyundai,Sonata,2020,145151,26979.288,Hybrid,Silver,Manual,"GPS, Sunroof, Leather Seats",New,Yes
Nissan,Leaf,2022,52990,38089.240000000005,Electric,Black,Automatic,"Sunroof, Bluetooth, Heated Seats",Like New,Yes
Nissan,Leaf,2014,126572,34643.696,Hybrid,Red,Automatic,Remote Start,Like New,Yes
Mazda,MX-5 Miata,2014,113293,5946.232,Diesel,White,Automatic,"Leather Seats, Bluetooth, Remote Start, GPS",Like New,Yes
Jaguar,F-Type,2020,51353,15282.904000000002,Gasoline,Red,Manual,"Backup Camera, Leather Seats",Like New,Yes
Jaguar,XE,2012,118694,26805.552000000003,Hybrid,Green,Manual,Backup Camera,Like New,Yes
Mercedes,GLC,2010,89466,31246.520000000004,Diesel,Red,Automatic,"Heated Seats, Bluetooth",Used,Yes
Volkswagen,Golf,2011,105545,22120.112,Electric,White,Automatic,"Sunroof, Heated Seats, Backup Camera",New,Yes
Fiat,Tipo,2015,118682,35967.064000000006,Diesel,Silver,Manual,"Remote Start, Sunroof",Like New,Yes
Toyota,Corolla,2013,39394,11602.848,Gasoline,Brown,Automatic,Sunroof,New,Yes
Nissan,Leaf,2019,17736,25381.264000000003,Gasoline,Black,Automatic,"Sunroof, Remote Start, GPS, Bluetooth",New,Yes
Jaguar,XF,2013,7439,14840.192000000005,Gasoline,Orange,Manual,"Remote Start, GPS, Backup Camera, Heated Seats",Used,Yes
Volkswagen,Jetta,2022,32856,21918.608,Diesel,Gray,Automatic,"Leather Seats, GPS, Backup Camera",Like New,Yes
Jaguar,XF,2021,131003,15901.728,Gasoline,Red,Automatic,"GPS, Backup Camera",New,Yes
BMW,3 Series,2014,65597,20443.048000000003,Electric,Gray,Manual,"Remote Start, GPS",New,Yes
Volkswagen,Passat,2022,86974,19335.824,Gasoline,Black,Automatic,"Bluetooth, Remote Start",New,Yes
Porsche,Taycan,2014,29366,17414.4,Electric,White,Automatic,"Bluetooth, Sunroof, Heated Seats, Backup Camera",Like New,Yes
Chevrolet,Silverado,2012,20373,39336.488000000005,Diesel,Black,Manual,"Leather Seats, Backup Camera, Sunroof, Bluetooth",Used,Yes
Fiat,500,2020,39250,26738.58,Hybrid,Black,Manual,Bluetooth,Like New,No
Hyundai,Elantra,2021,142577,31631.032000000003,Diesel,Silver,Automatic,"Bluetooth, Heated Seats, Sunroof, Leather Seats",Like New,Yes
Chevy,Traverse,2010,8052,27162.352000000003,Diesel,Orange,Manual,Remote Start,Like New,Yes
Jaguar,F-Type,2013,91742,38925.224,Gasoline,Orange,Automatic,"Remote Start, Leather Seats, GPS, Sunroof",Used,Yes
Porsche,Taycan,2017,28073,34837.216,Hybrid,Silver,Automatic,Sunroof,Like New,Yes
Subaru,Outback,2018,148942,5007.64,Gasoline,Brown,Manual,"Bluetooth, Remote Start, GPS, Leather Seats",Used,No
Porsche,Macan,2018,129029,29799.688,Electric,Yellow,Automatic,Bluetooth,New,Yes
Kia,Forte,2018,141835,17460.056,Gasoline,Red,Automatic,"GPS, Bluetooth, Backup Camera, Leather Seats",Like New,Yes
Mercedes,C-Class,2016,61515,20453.656000000003,Diesel,Silver,Automatic,Remote Start,Like New,Yes
Porsche,Panamera,2020,137172,8846.896,Hybrid,Red,Automatic,"Backup Camera, Leather Seats, Remote Start, Heated Seats",Used,Yes
Honda,Civic,2016,89369,22147.968,Hybrid,Green,Automatic,"Bluetooth, Sunroof, Leather Seats",Like New,Yes
Honda,Pilot,2019,139294,14760.872,Electric,Orange,Automatic,"Heated Seats, Bluetooth, Leather Seats",New,Yes
Chevrolet,Traverse,2018,89510,36965.87,Electric,Orange,Manual,"Remote Start, Sunroof, GPS",Used,No
Land Rover,Discovery,2010,104842,11539.7,Gasoline,Blue,Manual,"Leather Seats, GPS, Bluetooth",New,No
Mercedes,S-Class,2010,99026,33304.944,Gasoline,Brown,Automatic,"Backup Camera, Heated Seats",Used,Yes
Volkswagen,Jetta,2016,106595,18996.384,Electric,Orange,Automatic,"Backup Camera, Sunroof",New,Yes
Tesla,Model X,2022,148291,30584.2,Diesel,Blue,Manual,Leather Seats,Like New,Yes
Chevrolet,Traverse,2011,103880,5462.832,Electric,Orange,Manual,"GPS, Bluetooth, Sunroof",New,Yes
Honda,Civic,2012,89575,25487.688,Electric,Yellow,Manual,"Leather Seats, Backup Camera",New,Yes
BMW,X7,2012,114033,23550.888000000003,Hybrid,Black,Manual,"Bluetooth, Remote Start, Heated Seats",New,Yes
Mercedes,S-Class,2018,129480,39878.72,Gasoline,Black,Manual,"GPS, Heated Seats",Like New,Yes
Hyundai,Santa Fe,2022,34720,22364.42,Electric,Red,Manual,"GPS, Bluetooth, Leather Seats, Heated Seats",Used,No
Land Rover,Discovery,2011,48881,38978.632000000005,Gasoline,Black,Automatic,"Remote Start, GPS, Leather Seats, Sunroof",Used,Yes
BMW,X5,2010,125383,29807.256,Gasoline,Black,Automatic,"Backup Camera, GPS, Remote Start",New,Yes
Tesla,Model X,2016,106720,20240.520000000004,Hybrid,Green,Manual,Backup Camera,New,Yes
Toyota,RAV4,2011,16931,29231.752000000004,Gasoline,Silver,Automatic,Bluetooth,Like New,Yes
Porsche,Panamera,2016,13079,21063.56,Diesel,White,Manual,"Bluetooth, Heated Seats",Used,Yes
Kia,Optima,2018,42060,8436.464,Gasoline,Brown,Manual,"Leather Seats, Heated Seats, Bluetooth",Used,Yes
Mercedes,A-Class,2020,139362,9128.384,Diesel,Blue,Manual,"Heated Seats, Backup Camera",New,Yes
Ford,Explorer,2017,149091,6633.2080000000005,Gasoline,Gray,Automatic,"Bluetooth, Leather Seats, Heated Seats",New,Yes
Audi,A6,2019,23299,36404.272,Electric,Yellow,Manual,"Backup Camera, Remote Start",Like New,Yes
